"","id","id_seq","transicao","V1023","idade","genero","VD3004","V2010","V2005","UF","qtd_pessoas","periodo_ajust","ensino_medio","ensino_superior","raça","posicao_familiar","tempo_desemprego","filhos","regiao","renda_domiciliar","renda_depois"
"11","130014370_04_06_24_04_1978_Homem_1310211",752,"Migrou para TCP","Capital",40,"Homem","Fundamental incompleto ou equivalente","Parda","Pessoa responsável pelo domicílio","Amazonas",4.8,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",3,0,"Norte",0,1000
"12","130072891_01_06_08_10_1991_Homem_1310212",931,"Migrou para o setor privado","Capital",26,"Homem","Superior incompleto ou equivalente","Parda","Enteado(a)","Amazonas",3,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",2,0,"Norte",200,575
"13","130015855_08_06_09_04_1979_Homem_1310213",966,"Migrou para TCP","Capital",39,"Homem","Médio incompleto ou equivalente","Parda","Filho(a) somente do responsável","Amazonas",2,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",18,0,"Norte",0,650
"14","130012391_13_06_04_01_1995_Mulher_1320010",1014,"Migrou para o setor privado","Resto da RM (Região Metropolitana, excluindo a capital)",23,"Mulher","Médio incompleto ou equivalente","Parda","Genro ou nora","Amazonas",5,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",4,0,"Norte",100,400
"15","130002818_06_06_22_02_1977_Homem_1351010",1060,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",41,"Homem","Superior completo","Parda","Genro ou nora","Amazonas",7,"Pré-pandemia","Ensino médio completo","Superior completo","Não branco","Não responsável pelo domicílio",9,0,"Norte",0,1200
"16","150048874_09_06_10_11_1993_Mulher_1510011",1501,"Migrou para o setor privado","Capital",24,"Mulher","Médio completo ou equivalente","Preta","Outro parente","Pará",2.2,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",1,0,"Norte",2500,429
"17","150034540_07_06_13_11_1971_Homem_1510012",1550,"Migrou para TCP","Capital",46,"Homem","Médio completo ou equivalente","Preta","Pessoa responsável pelo domicílio","Pará",3,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Responsável pelo domicílio",16,1,"Norte",555.166666666667,195
"18","150085796_14_06_15_05_1982_Homem_1510013",1670,"Migrou para TCP","Capital",36,"Homem","Fundamental incompleto ou equivalente","Branca","Cônjuge ou companheiro(a) de sexo diferente","Pará",6,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Branco","Não responsável pelo domicílio",7,0,"Norte",44.4444444444444,1150
"19","150001927_11_06_04_04_1995_Mulher_1520011",1684,"Migrou para o setor privado","Resto da RM (Região Metropolitana, excluindo a capital)",23,"Mulher","Superior completo","Preta","Enteado(a)","Pará",5,"Pré-pandemia","Ensino médio completo","Superior completo","Não branco","Não responsável pelo domicílio",1,0,"Norte",350.8,954
"20","150032230_03_06_21_07_1997_Homem_1520012",1779,"Migrou para TCP","Resto da RM (Região Metropolitana, excluindo a capital)",21,"Homem","Médio completo ou equivalente","Parda","Filho(a) do responsável e do cônjuge","Pará",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",2,0,"Norte",268.75,650
"21","150032230_07_06_15_09_1995_Homem_1520012",1783,"Migrou para o setor privado","Resto da RM (Região Metropolitana, excluindo a capital)",22,"Homem","Fundamental incompleto ou equivalente","Preta","Pessoa responsável pelo domicílio","Pará",4,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",1,1,"Norte",256.75,1250
"22","150032230_08_06_31_05_1980_Homem_1520012",1787,"Migrou para TCP","Resto da RM (Região Metropolitana, excluindo a capital)",37,"Homem","Médio completo ou equivalente","Amarela","Cônjuge ou companheiro(a) de sexo diferente","Pará",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",18,1,"Norte",238.5,1150
"23","150032230_10_06_18_06_1974_Homem_1520012",1789,"Migrou para TCP","Resto da RM (Região Metropolitana, excluindo a capital)",43,"Homem","Sem instrução e menos de 1 ano de estudo","Parda","Cônjuge ou companheiro(a) de sexo diferente","Pará",7.2,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",5,1,"Norte",45,750
"24","150075448_05_06_25_12_1992_Mulher_1551011",1869,"Migrou para TCP","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",25,"Mulher","Médio completo ou equivalente","Parda","Filho(a) somente do responsável","Pará",5.4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",12,0,"Norte",582.9,600
"25","150097535_08_06_13_03_1985_Mulher_1552011",2013,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",33,"Mulher","Superior completo","Parda","Pessoa responsável pelo domicílio","Pará",2,"Pré-pandemia","Ensino médio completo","Superior completo","Não branco","Responsável pelo domicílio",4,1,"Norte",0,258
"26","150026352_03_06_22_09_1966_Homem_1553012",2142,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",51,"Homem","Médio incompleto ou equivalente","Parda","Pessoa responsável pelo domicílio","Pará",3,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",11,0,"Norte",433.333333333333,2500
"27","160005098_04_06_02_09_1995_Mulher_1610111",2202,"Migrou para TCP","Capital",22,"Mulher","Superior completo","Parda","Genro ou nora","Amapá",7,"Pré-pandemia","Ensino médio completo","Superior completo","Não branco","Não responsável pelo domicílio",60,0,"Norte",235.714285714286,200
"28","160001588_13_06_19_06_1971_Homem_1610112",2273,"Migrou para TCP","Capital",47,"Homem","Médio completo ou equivalente","Branca","Pessoa responsável pelo domicílio","Amapá",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Branco","Responsável pelo domicílio",8,2,"Norte",225,1100
"29","160002843_02_06_07_02_1980_Homem_1650010",2420,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",38,"Homem","Fundamental incompleto ou equivalente","Parda","Pessoa responsável pelo domicílio","Amapá",8.6,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",5,4,"Norte",27.7777777777778,700
"30","160002843_13_06_18_10_1980_Homem_1650010",2430,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",37,"Homem","Médio completo ou equivalente","Branca","Pessoa responsável pelo domicílio","Amapá",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Branco","Responsável pelo domicílio",5,2,"Norte",0,954
"31","160002843_14_06_03_02_1980_Homem_1650010",2431,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",38,"Homem","Médio completo ou equivalente","Preta","Pessoa responsável pelo domicílio","Amapá",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Responsável pelo domicílio",23,2,"Norte",0,954
"32","170009915_01_06_02_11_1994_Homem_1710010",2453,"Migrou para o setor privado","Capital",23,"Homem","Superior incompleto ou equivalente","Parda","Irmão ou irmã","Tocantins",2,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",1,0,"Norte",300,1524
"33","170017819_11_06_07_11_1976_Homem_1710010",2496,"Migrou para o setor privado","Capital",41,"Homem","Superior completo","Parda","Pessoa responsável pelo domicílio","Tocantins",1,"Pré-pandemia","Ensino médio completo","Superior completo","Não branco","Responsável pelo domicílio",5,0,"Norte",0,1227
"34","170014900_03_06_24_01_1961_Homem_1751011",2540,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",57,"Homem","Fundamental incompleto ou equivalente","Parda","Pessoa responsável pelo domicílio","Tocantins",4.8,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",1,0,"Norte",135,250
"35","210065064_11_06_03_10_1965_Homem_2110011",2755,"Migrou para o setor privado","Capital",52,"Homem","Fundamental incompleto ou equivalente","Parda","Pessoa responsável pelo domicílio","Maranhão",1,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",8,0,"Nordeste",0,954
"36","210019806_03_06_12_04_1972_Homem_2110013",2868,"Migrou para TCP","Capital",46,"Homem","Fundamental incompleto ou equivalente","Branca","Cônjuge ou companheiro(a) de sexo diferente","Maranhão",5.6,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Branco","Não responsável pelo domicílio",84,0,"Nordeste",197.5,300
"37","210077687_10_06_10_12_1976_Homem_2151011",3014,"Migrou para TCP","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",41,"Homem","Fundamental incompleto ou equivalente","Parda","Neto(a)","Maranhão",3,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",1,0,"Nordeste",0,200
"38","210016320_12_06_13_05_1991_Mulher_2152011",3101,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",27,"Mulher","Médio completo ou equivalente","Preta","Filho(a) somente do responsável","Maranhão",4.2,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",48,0,"Nordeste",238.5,976
"39","210080292_07_06_02_03_1985_Homem_2153011",3354,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",33,"Homem","Médio completo ou equivalente","Parda","Cônjuge ou companheiro(a) de sexo diferente","Maranhão",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",12,1,"Nordeste",0,1650
"40","210000514_10_06_30_01_1993_Homem_2154012",3494,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",25,"Homem","Fundamental incompleto ou equivalente","Parda","Filho(a) somente do responsável","Maranhão",4.2,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",48,0,"Nordeste",21.5,976
"41","220022130_05_06_10_11_1986_Mulher_2210011",3542,"Migrou para TCP","Capital",31,"Mulher","Médio completo ou equivalente","Parda","Pessoa responsável pelo domicílio","Piauí",2,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Responsável pelo domicílio",3,1,"Nordeste",0,200
"42","220027020_06_06_03_12_1986_Mulher_2210011",3567,"Migrou para TCP","Capital",31,"Mulher","Superior incompleto ou equivalente","Parda","Irmão ou irmã","Piauí",5,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",1,0,"Nordeste",397.4,1100
"43","220017597_01_06_26_08_1994_Mulher_2210012",3656,"Migrou para o setor privado","Capital",24,"Mulher","Superior incompleto ou equivalente","Branca","Filho(a) somente do responsável","Piauí",2,"Pré-pandemia","Ensino médio completo","Sem superior completo","Branco","Não responsável pelo domicílio",2,0,"Nordeste",250,750
"44","220022015_13_06_15_09_1977_Homem_2210012",3696,"Migrou para TCP","Capital",40,"Homem","Fundamental incompleto ou equivalente","Parda","Cônjuge ou companheiro(a) de sexo diferente","Piauí",3,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",1,1,"Nordeste",0,625
"45","220035573_05_06_10_12_1978_Homem_2210013",3765,"Migrou para TCP","Capital",39,"Homem","Fundamental incompleto ou equivalente","Branca","Pessoa responsável pelo domicílio","Piauí",3.8,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Branco","Responsável pelo domicílio",1,0,"Nordeste",656.5,640
"46","220035573_07_06_10_01_1998_Mulher_2210013",3768,"Migrou para o setor privado","Capital",20,"Mulher","Médio completo ou equivalente","Parda","Filho(a) somente do responsável","Piauí",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",4,0,"Nordeste",106.25,1002
"47","220048949_01_06_30_12_1996_Homem_2251011",3882,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",21,"Homem","Médio completo ou equivalente","Parda","Filho(a) somente do responsável","Piauí",3,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",5,0,"Nordeste",20,1150
"48","220024895_09_06_03_12_1997_Homem_2251012",3919,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",20,"Homem","Médio incompleto ou equivalente","Branca","Enteado(a)","Piauí",4,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Branco","Não responsável pelo domicílio",24,0,"Nordeste",2314,577
"49","220036891_09_06_15_08_1972_Homem_2252011",3971,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",45,"Homem","Fundamental incompleto ou equivalente","Parda","Pessoa responsável pelo domicílio","Piauí",2.4,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",1,0,"Nordeste",0,210
"50","230126291_01_06_20_02_1982_Homem_2310112",4157,"Migrou para o setor privado","Capital",36,"Homem","Fundamental incompleto ou equivalente","Parda","Pessoa responsável pelo domicílio","Ceará",3,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",1,1,"Nordeste",400,1200
"51","230031313_01_06_08_11_1971_Homem_2310211",4219,"Migrou para TCP","Capital",46,"Homem","Médio completo ou equivalente","Parda","Irmão ou irmã","Ceará",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",20,0,"Nordeste",0,750
"52","230037610_12_06_13_11_1989_Homem_2310211",4247,"Migrou para o setor privado","Capital",28,"Homem","Médio completo ou equivalente","Parda","Pessoa responsável pelo domicílio","Ceará",2,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Responsável pelo domicílio",6,0,"Nordeste",27.5,1750
"53","230037610_14_06_19_04_1999_Homem_2310211",4251,"Migrou para o setor privado","Capital",19,"Homem","Fundamental completo ou equivalente","Parda","Filho(a) somente do responsável","Ceará",5.4,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",24,0,"Nordeste",230,1177
"54","230094664_08_06_28_07_1975_Mulher_2310211",4274,"Migrou para TCP","Capital",42,"Mulher","Médio completo ou equivalente","Parda","Filho(a) somente do responsável","Ceará",3,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",1,0,"Nordeste",156.166666666666,425
"55","230010315_05_06_29_06_1955_Homem_2310212",4305,"Migrou para TCP","Capital",62,"Homem","Fundamental completo ou equivalente","Parda","Outro parente","Ceará",3,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",4,0,"Nordeste",850,470
"56","230080141_03_06_12_02_1992_Mulher_2310212",4349,"Migrou para o setor privado","Capital",26,"Mulher","Superior incompleto ou equivalente","Branca","Filho(a) do responsável e do cônjuge","Ceará",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Branco","Não responsável pelo domicílio",12,0,"Nordeste",1437.5,1100
"57","230124922_10_06_25_01_1997_Mulher_2310213",4393,"Migrou para o setor privado","Capital",21,"Mulher","Médio completo ou equivalente","Parda","Filho(a) do responsável e do cônjuge","Ceará",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",18,0,"Nordeste",344.25,802
"58","230037306_11_06_21_12_1996_Homem_2320013",4511,"Migrou para o setor privado","Resto da RM (Região Metropolitana, excluindo a capital)",21,"Homem","Médio incompleto ou equivalente","Branca","Filho(a) do responsável e do cônjuge","Ceará",3,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Branco","Não responsável pelo domicílio",1,0,"Nordeste",416.666666666667,775
"59","230084038_02_06_04_07_1967_Homem_2320013",4534,"Migrou para o setor privado","Resto da RM (Região Metropolitana, excluindo a capital)",50,"Homem","Fundamental completo ou equivalente","Parda","Cônjuge ou companheiro(a) de sexo diferente","Ceará",5,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",1,1,"Nordeste",207.4,1050
"60","230084038_08_06_31_07_1993_Homem_2320013",4539,"Migrou para o setor privado","Resto da RM (Região Metropolitana, excluindo a capital)",24,"Homem","Fundamental incompleto ou equivalente","Branca","Cônjuge ou companheiro(a) de sexo diferente","Ceará",4,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Branco","Não responsável pelo domicílio",3,2,"Nordeste",0,375
"61","230152715_03_06_26_07_1998_Homem_2320013",4558,"Migrou para o setor privado","Resto da RM (Região Metropolitana, excluindo a capital)",20,"Homem","Superior incompleto ou equivalente","Parda","Filho(a) do responsável e do cônjuge","Ceará",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",36,0,"Nordeste",477,500
"62","230145837_12_06_09_12_1996_Homem_2351011",4629,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",21,"Homem","Médio completo ou equivalente","Preta","Filho(a) do responsável e do cônjuge","Ceará",5.8,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",5,0,"Nordeste",112.833333333333,954
"63","230079302_06_06_10_07_1993_Homem_2351012",4701,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",24,"Homem","Médio completo ou equivalente","Parda","Pessoa responsável pelo domicílio","Ceará",4.6,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Responsável pelo domicílio",1,0,"Nordeste",244.25,677
"64","230112966_02_06_01_09_1976_Homem_2351012",4723,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",41,"Homem","Fundamental incompleto ou equivalente","Parda","Pessoa responsável pelo domicílio","Ceará",5.6,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",1,3,"Nordeste",0,300
"65","230052065_10_06_08_07_1994_Homem_2351013",4762,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",24,"Homem","Médio completo ou equivalente","Branca","Filho(a) do responsável e do cônjuge","Ceará",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Branco","Não responsável pelo domicílio",2,0,"Nordeste",225,420
"66","240008619_04_06_29_03_1982_Mulher_2410011",5163,"Migrou para o setor privado","Capital",36,"Mulher","Superior completo","Preta","Cônjuge ou companheiro(a) de sexo diferente","Rio Grande do Norte",4,"Pré-pandemia","Ensino médio completo","Superior completo","Não branco","Não responsável pelo domicílio",1,2,"Nordeste",562.5,973.5
"67","240029296_09_06_15_05_1997_Homem_2410011",5220,"Migrou para o setor privado","Capital",20,"Homem","Médio completo ou equivalente","Parda","Genro ou nora","Rio Grande do Norte",6,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",1,0,"Nordeste",159,1000
"68","240009092_07_06_13_07_1979_Mulher_2410012",5260,"Migrou para TCP","Capital",38,"Mulher","Superior incompleto ou equivalente","Parda","Cônjuge ou companheiro(a) de sexo diferente","Rio Grande do Norte",3,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",2,1,"Nordeste",319.833333333333,190
"69","240023831_08_06_11_02_1967_Homem_2420010",5322,"Migrou para o setor privado","Resto da RM (Região Metropolitana, excluindo a capital)",51,"Homem","Fundamental incompleto ou equivalente","Parda","Pessoa responsável pelo domicílio","Rio Grande do Norte",3,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Responsável pelo domicílio",4,0,"Nordeste",50,750
"70","250006742_10_06_06_11_1986_Mulher_2510011",5620,"Migrou para o setor privado","Capital",31,"Mulher","Médio completo ou equivalente","Parda","Filho(a) do responsável e do cônjuge","Paraíba",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",10,0,"Nordeste",325,1400
"71","250060528_06_06_27_10_1960_Homem_2510012",5739,"Migrou para TCP","Capital",57,"Homem","Fundamental incompleto ou equivalente","Branca","Cônjuge ou companheiro(a) de sexo diferente","Paraíba",4,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Branco","Não responsável pelo domicílio",24,0,"Nordeste",0,375
"72","250023136_10_06_24_04_1979_Homem_2551010",5904,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",39,"Homem","Médio completo ou equivalente","Branca","Genro ou nora","Paraíba",4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Branco","Não responsável pelo domicílio",18,0,"Nordeste",238.5,954
"73","250002019_02_06_10_06_1966_Homem_2552013",6070,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",52,"Homem","Fundamental incompleto ou equivalente","Preta","Cônjuge ou companheiro(a) de sexo diferente","Paraíba",5.2,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",1,1,"Nordeste",167.857142857143,600
"74","260010479_10_06_22_01_1989_Homem_2610011",6202,"Migrou para TCP","Capital",29,"Homem","Médio completo ou equivalente","Parda","Filho(a) do responsável e do cônjuge","Pernambuco",3,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",3,0,"Nordeste",58.3333333333335,1100
"75","260095708_05_06_29_03_1992_Homem_2610011",6266,"Migrou para o setor privado","Capital",26,"Homem","Superior incompleto ou equivalente","Branca","Filho(a) somente do responsável","Pernambuco",3,"Pré-pandemia","Ensino médio completo","Sem superior completo","Branco","Não responsável pelo domicílio",1,0,"Nordeste",1333.33333333333,977.5
"76","260107915_06_06_12_06_1989_Homem_2610011",6275,"Migrou para TCP","Capital",28,"Homem","Fundamental incompleto ou equivalente","Preta","Filho(a) somente do responsável","Pernambuco",3.4,"Pré-pandemia","Ensino médio incompleto","Sem superior completo","Não branco","Não responsável pelo domicílio",1,0,"Nordeste",0,400
"77","260021710_02_06_12_04_1991_Mulher_2610012",6301,"Migrou para TCP","Capital",27,"Mulher","Médio completo ou equivalente","Parda","Cônjuge ou companheiro(a) de sexo diferente","Pernambuco",2,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",48,0,"Nordeste",650,700
"78","260021710_04_06_11_09_1995_Homem_2610012",6305,"Migrou para o setor privado","Capital",22,"Homem","Médio completo ou equivalente","Preta","Filho(a) do responsável e do cônjuge","Pernambuco",5,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",36,0,"Nordeste",360,900
"79","260023193_08_06_10_02_1989_Mulher_2610012",6329,"Migrou para o setor privado","Capital",29,"Mulher","Médio completo ou equivalente","Preta","Filho(a) do responsável e do cônjuge","Pernambuco",7.4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",24,0,"Nordeste",150,900
"80","260023193_08_06_14_08_1994_Mulher_2610012",6332,"Migrou para o setor privado","Capital",23,"Mulher","Médio completo ou equivalente","Preta","Filho(a) do responsável e do cônjuge","Pernambuco",7.4,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",48,0,"Nordeste",150,1050
"81","260066911_10_06_25_05_1999_Homem_2610013",6385,"Migrou para o setor privado","Capital",18,"Homem","Médio completo ou equivalente","Parda","Filho(a) somente do responsável","Pernambuco",3.8,"Pré-pandemia","Ensino médio completo","Sem superior completo","Não branco","Não responsável pelo domicílio",5,0,"Nordeste",0,416
"82","260007993_08_06_09_06_1994_Homem_2652011",6614,"Migrou para o setor privado","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",24,"Homem","Superior incompleto ou equivalente","Branca","Filho(a) somente do responsável","Pernambuco",2,"Pré-pandemia","Ensino médio completo","Sem superior completo","Branco","Não responsável pelo domicílio",1,0,"Nordeste",548.5,1220
