"","id","id_seq","transicao","renda_depois","V1023","idade","genero","UF","escolaridade","raça","posicao_familiar","regiao","tempo_desemprego"
"15","150067829_11_11_01_09_2000_Homem_1552012",1898,"Migrou para o setor privado",1600,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",22,"Homem","Pará","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",8
"16","160001966_02_11_01_12_1980_Mulher_1620010",2069,"Migrou para o setor privado",600,"Resto da RM (Região Metropolitana, excluindo a capital)",43,"Mulher","Amapá","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Norte",12
"17","170025438_08_11_30_09_1990_Mulher_1710010",2201,"Migrou para o setor privado",2300,"Capital",33,"Mulher","Tocantins","Ensino médio completo","Não branco","Responsável pelo domicílio","Norte",4
"18","170029321_04_11_10_08_1996_Homem_1751011",2260,"Migrou para o setor privado",1506,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",27,"Homem","Tocantins","Ensino médio completo","Não branco","Responsável pelo domicílio","Norte",1
"19","170041606_06_11_02_02_1988_Homem_1751011",2277,"Migrou para o setor privado",1708,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",35,"Homem","Tocantins","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",1
"20","210045920_08_11_04_09_1999_Mulher_2152011",2718,"Migrou para o setor privado",1750,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",23,"Mulher","Maranhão","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",60
"21","210102030_06_11_21_12_2004_Homem_2154011",3018,"Migrou para o setor privado",500,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",18,"Homem","Maranhão","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",1
"22","220015514_01_11_25_08_2001_Homem_2220010",3317,"Migrou para o setor privado",1031,"Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital)",21,"Homem","Piauí","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",1
"23","220015514_01_11_15_01_2004_Homem_2220010",3318,"Migrou para o setor privado",1416,"Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital)",19,"Homem","Piauí","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",1
"24","220080396_12_11_22_11_1973_Homem_2220010",3369,"Migrou para TCP",1350,"Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital)",50,"Homem","Piauí","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Nordeste",7
"25","220049829_01_11_26_08_2004_Mulher_2252012",3535,"Migrou para o setor privado",746,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",18,"Mulher","Piauí","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",11
"26","220049829_03_11_24_05_1975_Homem_2252012",3538,"Migrou para o setor privado",1306,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",48,"Homem","Piauí","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Nordeste",1
"27","230048334_06_11_25_07_1992_Mulher_2310112",3623,"Migrou para o setor privado",2314,"Capital",31,"Mulher","Ceará","Ensino médio completo","Branco","Não responsável pelo domicílio","Nordeste",1
"28","230058746_13_11_12_09_1976_Mulher_2310212",3764,"Migrou para TCP",1156,"Capital",47,"Mulher","Ceará","Ensino médio completo","Branco","Responsável pelo domicílio","Nordeste",2
"29","230203729_02_11_20_04_2005_Homem_2310212",3787,"Migrou para o setor privado",1106,"Capital",18,"Homem","Ceará","Ensino médio completo","Branco","Não responsável pelo domicílio","Nordeste",2
"30","230154030_07_11_05_02_2004_Mulher_2351012",4015,"Migrou para o setor privado",1306,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",19,"Mulher","Ceará","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",4
"31","230025920_04_11_09_05_1974_Homem_2351013",4025,"Migrou para o setor privado",1756,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",49,"Homem","Ceará","Ensino médio completo","Branco","Responsável pelo domicílio","Nordeste",13
"32","230108206_02_11_15_01_1974_Homem_2352011",4065,"Migrou para o setor privado",925,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",49,"Homem","Ceará","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Nordeste",1
"33","230024964_10_11_28_10_2004_Homem_2354011",4307,"Migrou para o setor privado",1370,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",18,"Homem","Ceará","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",12
"34","240016365_08_11_15_08_1986_Mulher_2410011",4411,"Migrou para o setor privado",1366,"Capital",37,"Mulher","Rio Grande do Norte","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",17
"35","240028475_07_11_23_02_1983_Homem_2410011",4423,"Migrou para o setor privado",1366,"Capital",40,"Homem","Rio Grande do Norte","Ensino médio completo","Branco","Não responsável pelo domicílio","Nordeste",3
"36","240078504_01_11_18_07_1998_Mulher_2410011",4466,"Migrou para o setor privado",1366,"Capital",24,"Mulher","Rio Grande do Norte","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",1
"37","240041693_14_11_18_04_1994_Homem_2452011",4659,"Migrou para o setor privado",1412,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",29,"Homem","Rio Grande do Norte","Ensino médio completo","Branco","Não responsável pelo domicílio","Nordeste",1
"38","240012477_07_11_04_07_1996_Mulher_2453011",4727,"Migrou para o setor privado",180,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",27,"Mulher","Rio Grande do Norte","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Nordeste",3
"39","240012788_06_11_05_01_1972_Homem_2453011",4735,"Migrou para o setor privado",2110.5,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",51,"Homem","Rio Grande do Norte","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Nordeste",15
"40","250057825_01_11_24_06_2004_Mulher_2510011",4868,"Migrou para o setor privado",1480,"Capital",19,"Mulher","Paraíba","Ensino médio completo","Branco","Não responsável pelo domicílio","Nordeste",1
"41","250057825_13_11_24_10_1977_Mulher_2510011",4878,"Migrou para o setor privado",1366,"Capital",45,"Mulher","Paraíba","Ensino médio completo","Branco","Responsável pelo domicílio","Nordeste",3
"42","250069298_08_11_26_07_1983_Mulher_2520011",5011,"Migrou para o setor privado",1508.5,"Resto da RM (Região Metropolitana, excluindo a capital)",39,"Mulher","Paraíba","Ensino médio incompleto","Branco","Responsável pelo domicílio","Nordeste",4
"43","250076316_06_11_24_05_2000_Homem_2520011",5021,"Migrou para TCP",900,"Resto da RM (Região Metropolitana, excluindo a capital)",23,"Homem","Paraíba","Ensino médio incompleto","Branco","Não responsável pelo domicílio","Nordeste",3
"44","250071039_06_11_15_08_2003_Homem_2520012",5042,"Migrou para o setor privado",500,"Resto da RM (Região Metropolitana, excluindo a capital)",20,"Homem","Paraíba","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",24
"45","250047499_08_11_17_12_1971_Mulher_2553011",5243,"Migrou para o setor privado",650,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",51,"Mulher","Paraíba","Ensino médio incompleto","Branco","Responsável pelo domicílio","Nordeste",120
"46","260115713_10_11_05_06_2000_Homem_2610011",5435,"Migrou para o setor privado",650,"Capital",23,"Homem","Pernambuco","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",9
"47","260077626_01_11_14_08_1983_Mulher_2620011",5570,"Migrou para o setor privado",880,"Resto da RM (Região Metropolitana, excluindo a capital)",40,"Mulher","Pernambuco","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",24
"48","260058358_05_11_08_01_1995_Mulher_2620012",5612,"Migrou para o setor privado",2000,"Resto da RM (Região Metropolitana, excluindo a capital)",28,"Mulher","Pernambuco","Ensino médio completo","Branco","Não responsável pelo domicílio","Nordeste",24
"49","260201931_04_11_13_08_1979_Homem_2620012",5644,"Migrou para o setor privado",1700,"Resto da RM (Região Metropolitana, excluindo a capital)",43,"Homem","Pernambuco","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",3
"50","260211118_07_11_18_02_2005_Homem_2620012",5662,"Migrou para o setor privado",1412,"Resto da RM (Região Metropolitana, excluindo a capital)",18,"Homem","Pernambuco","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Nordeste",3
"51","260212133_01_11_05_05_1995_Mulher_2620012",5663,"Migrou para o setor privado",1366,"Resto da RM (Região Metropolitana, excluindo a capital)",28,"Mulher","Pernambuco","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",6
"52","260212133_06_11_15_08_2004_Homem_2620012",5667,"Migrou para o setor privado",1366,"Resto da RM (Região Metropolitana, excluindo a capital)",19,"Homem","Pernambuco","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",6
"53","260218597_13_11_26_02_2001_Homem_2620012",5683,"Migrou para TCP",1350,"Resto da RM (Região Metropolitana, excluindo a capital)",22,"Homem","Pernambuco","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",36
"54","260221792_03_11_17_11_1975_Homem_2620012",5686,"Migrou para o setor privado",1600,"Resto da RM (Região Metropolitana, excluindo a capital)",47,"Homem","Pernambuco","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",4
"55","260221792_13_11_23_11_1989_Homem_2620012",5691,"Migrou para TCP",1000,"Resto da RM (Região Metropolitana, excluindo a capital)",33,"Homem","Pernambuco","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",12
"56","270035364_05_11_14_02_1986_Mulher_2710112",6255,"Migrou para o setor privado",906,"Capital",37,"Mulher","Alagoas","Ensino médio completo","Branco","Não responsável pelo domicílio","Nordeste",1
"57","270030678_03_11_01_08_1997_Mulher_2720010",6366,"Migrou para TCP",600,"Resto da RM (Região Metropolitana, excluindo a capital)",26,"Mulher","Alagoas","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",7
"58","280043098_10_11_31_01_1995_Homem_2810011",6733,"Migrou para o setor privado",1800,"Capital",28,"Homem","Sergipe","Ensino médio completo","Branco","Responsável pelo domicílio","Nordeste",3
"59","280023084_12_11_04_04_1972_Homem_2852010",6959,"Migrou para o setor privado",1065,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",51,"Homem","Sergipe","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",3
"60","280015150_03_11_23_03_1981_Homem_2853010",7009,"Migrou para o setor privado",1366,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",42,"Homem","Sergipe","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Nordeste",1
"61","290087309_11_11_20_11_1999_Mulher_2910211",7155,"Migrou para o setor privado",1412,"Capital",23,"Mulher","Bahia","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",60
"62","290197721_08_11_14_06_1963_Mulher_2910211",7170,"Migrou para o setor privado",1562,"Capital",60,"Mulher","Bahia","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",24
"63","290273210_06_11_22_07_1985_Homem_2920011",7274,"Migrou para TCP",3200,"Resto da RM (Região Metropolitana, excluindo a capital)",38,"Homem","Bahia","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Nordeste",48
"64","290152242_11_11_25_05_1988_Mulher_2920013",7324,"Migrou para TCP",700,"Resto da RM (Região Metropolitana, excluindo a capital)",35,"Mulher","Bahia","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",3
"65","290061682_09_11_07_02_2002_Homem_2954010",7638,"Migrou para o setor privado",600,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",21,"Homem","Bahia","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",36
"66","290001606_12_11_09_04_2000_Mulher_2955013",7742,"Migrou para TCP",500,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",23,"Mulher","Bahia","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",6
"67","290142254_08_11_31_03_1985_Homem_2956012",7804,"Migrou para TCP",500,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",38,"Homem","Bahia","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Nordeste",3
"68","290090136_06_11_02_10_2003_Homem_2956013",7844,"Migrou para o setor privado",800,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",20,"Homem","Bahia","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Nordeste",1
"69","310136388_11_11_18_03_1965_Homem_3110111",7904,"Migrou para o setor privado",1200,"Capital",58,"Homem","Minas Gerais","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Sudeste",72
"70","310165414_03_11_02_08_2001_Homem_3110113",8025,"Migrou para o setor privado",1106,"Capital",22,"Homem","Minas Gerais","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",24
"71","310156673_13_11_11_03_1991_Mulher_3110211",8081,"Migrou para o setor privado",1412,"Capital",32,"Mulher","Minas Gerais","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Sudeste",3
"72","310541097_12_11_16_10_1984_Mulher_3110212",8219,"Migrou para o setor privado",3000,"Capital",38,"Mulher","Minas Gerais","Ensino médio completo","Branco","Responsável pelo domicílio","Sudeste",3
"73","310270536_05_11_30_12_1977_Mulher_3110213",8230,"Migrou para o setor privado",1750,"Capital",45,"Mulher","Minas Gerais","Ensino médio completo","Não branco","Responsável pelo domicílio","Sudeste",5
"74","310004047_08_11_05_04_1978_Mulher_3120012",8342,"Migrou para o setor privado",996.5,"Resto da RM (Região Metropolitana, excluindo a capital)",45,"Mulher","Minas Gerais","Ensino médio completo","Não branco","Responsável pelo domicílio","Sudeste",72
"75","310374127_01_11_22_01_1982_Homem_3120012",8520,"Migrou para o setor privado",1750,"Resto da RM (Região Metropolitana, excluindo a capital)",41,"Homem","Minas Gerais","Ensino médio incompleto","Branco","Não responsável pelo domicílio","Sudeste",2
"76","310519970_11_11_17_01_1986_Mulher_3120012",8559,"Migrou para o setor privado",5750,"Resto da RM (Região Metropolitana, excluindo a capital)",37,"Mulher","Minas Gerais","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",8
"77","310004572_01_11_04_10_2004_Mulher_3120013",8569,"Migrou para o setor privado",1412,"Resto da RM (Região Metropolitana, excluindo a capital)",19,"Mulher","Minas Gerais","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",1
"78","310270792_08_11_30_04_1988_Homem_3151012",8882,"Migrou para TCP",3500,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",35,"Homem","Minas Gerais","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",5
"79","310270792_12_11_24_04_1995_Homem_3151012",8887,"Migrou para TCP",2250,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",28,"Homem","Minas Gerais","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Sudeste",3
"80","310347520_12_11_02_10_1965_Homem_3152011",9016,"Migrou para TCP",2160,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",57,"Homem","Minas Gerais","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",11
"81","310326716_05_11_30_03_1992_Homem_3153013",9355,"Migrou para TCP",1400,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",31,"Homem","Minas Gerais","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Sudeste",3
"82","310326716_07_11_17_08_1971_Homem_3153013",9356,"Migrou para o setor privado",1500,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",52,"Homem","Minas Gerais","Ensino médio incompleto","Branco","Responsável pelo domicílio","Sudeste",9
"83","310259949_02_11_29_11_2000_Homem_3154012",9476,"Migrou para o setor privado",900,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",22,"Homem","Minas Gerais","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",20
"84","310299255_09_11_10_10_2004_Homem_3154013",9532,"Migrou para o setor privado",1366,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",18,"Homem","Minas Gerais","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",1
"85","320036986_05_11_09_10_1994_Homem_3210011",9926,"Migrou para TCP",1750,"Capital",28,"Homem","Espírito Santo","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",2
"86","320071918_11_11_11_03_1993_Homem_3220011",10078,"Migrou para o setor privado",2500,"Resto da RM (Região Metropolitana, excluindo a capital)",30,"Homem","Espírito Santo","Ensino médio completo","Não branco","Responsável pelo domicílio","Sudeste",3
"87","320036612_09_11_17_07_2000_Homem_3220012",10170,"Migrou para o setor privado",1506,"Resto da RM (Região Metropolitana, excluindo a capital)",23,"Homem","Espírito Santo","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",4
"88","320095987_13_11_12_10_2004_Homem_3220012",10287,"Migrou para o setor privado",1300,"Resto da RM (Região Metropolitana, excluindo a capital)",19,"Homem","Espírito Santo","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",1
"89","320078839_14_11_25_01_1993_Mulher_3251011",10406,"Migrou para TCP",2800,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",30,"Mulher","Espírito Santo","Ensino médio completo","Branco","Responsável pelo domicílio","Sudeste",1
"90","320007234_05_11_13_01_1991_Homem_3252011",10460,"Migrou para o setor privado",3700,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",32,"Homem","Espírito Santo","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",1
"91","330103057_14_11_02_08_1972_Mulher_3310112",10800,"Migrou para TCP",7500,"Capital",51,"Mulher","Rio de Janeiro","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",12
"92","330323032_04_11_10_12_1983_Mulher_3310211",10996,"Migrou para TCP",3000,"Capital",39,"Mulher","Rio de Janeiro","Ensino médio completo","Branco","Responsável pelo domicílio","Sudeste",4
"93","330329824_06_11_15_06_1994_Homem_3310211",11016,"Migrou para TCP",2000,"Capital",29,"Homem","Rio de Janeiro","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",2
"94","330081198_06_11_10_06_2004_Mulher_3310311",11139,"Migrou para o setor privado",1412,"Capital",19,"Mulher","Rio de Janeiro","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",6
"95","330138998_05_11_15_10_1997_Homem_3310312",11293,"Migrou para o setor privado",1360,"Capital",25,"Homem","Rio de Janeiro","Ensino médio completo","Não branco","Responsável pelo domicílio","Sudeste",7
"96","330246485_09_11_06_08_1986_Mulher_3310312",11339,"Migrou para TCP",2050,"Capital",36,"Mulher","Rio de Janeiro","Ensino médio completo","Não branco","Responsável pelo domicílio","Sudeste",24
"97","330045872_04_11_17_09_2003_Homem_3322011",11540,"Migrou para o setor privado",1606,"Resto da RM (Região Metropolitana, excluindo a capital)",20,"Homem","Rio de Janeiro","Ensino médio completo","Não branco","Responsável pelo domicílio","Sudeste",24
"98","330045872_10_11_19_04_1972_Homem_3322011",11550,"Migrou para TCP",1456,"Resto da RM (Região Metropolitana, excluindo a capital)",51,"Homem","Rio de Janeiro","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",12
"99","330093011_08_11_25_08_1999_Mulher_3322012",11693,"Migrou para o setor privado",1456,"Resto da RM (Região Metropolitana, excluindo a capital)",24,"Mulher","Rio de Janeiro","Ensino médio completo","Não branco","Responsável pelo domicílio","Sudeste",9
"100","330226080_03_11_19_09_1999_Mulher_3322012",11768,"Migrou para o setor privado",1370,"Resto da RM (Região Metropolitana, excluindo a capital)",23,"Mulher","Rio de Janeiro","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Sudeste",36
"101","330266025_04_11_18_11_2004_Homem_3322012",11783,"Migrou para o setor privado",825,"Resto da RM (Região Metropolitana, excluindo a capital)",18,"Homem","Rio de Janeiro","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",1
"102","330298476_02_11_20_04_2005_Mulher_3322012",11796,"Migrou para o setor privado",925,"Resto da RM (Região Metropolitana, excluindo a capital)",18,"Mulher","Rio de Janeiro","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",2
"103","330415888_04_11_13_10_1994_Homem_3322012",11811,"Migrou para TCP",750,"Resto da RM (Região Metropolitana, excluindo a capital)",29,"Homem","Rio de Janeiro","Ensino médio completo","Branco","Responsável pelo domicílio","Sudeste",8
"104","330010795_09_11_11_11_1995_Mulher_3323012",11915,"Migrou para TCP",2500,"Resto da RM (Região Metropolitana, excluindo a capital)",27,"Mulher","Rio de Janeiro","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",2
"105","330070990_06_11_14_12_1965_Mulher_3323013",12084,"Migrou para o setor privado",1366,"Resto da RM (Região Metropolitana, excluindo a capital)",57,"Mulher","Rio de Janeiro","Ensino médio completo","Branco","Responsável pelo domicílio","Sudeste",24
"106","330018124_04_11_03_09_1990_Homem_3351011",12124,"Migrou para TCP",2640,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",33,"Homem","Rio de Janeiro","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",4
"107","330247610_02_11_15_08_1990_Homem_3351012",12211,"Migrou para TCP",775,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",33,"Homem","Rio de Janeiro","Ensino médio incompleto","Branco","Responsável pelo domicílio","Sudeste",15
"108","330175370_01_11_25_09_1981_Mulher_3351013",12239,"Migrou para o setor privado",1500,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",41,"Mulher","Rio de Janeiro","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Sudeste",5
"109","330175370_01_11_24_10_2004_Homem_3351013",12242,"Migrou para o setor privado",1506,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",18,"Homem","Rio de Janeiro","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",5
"110","330013433_06_11_10_11_1999_Homem_3352011",12255,"Migrou para o setor privado",1416,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",23,"Homem","Rio de Janeiro","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Sudeste",24
"111","330114467_14_11_28_03_1981_Mulher_3353011",12419,"Migrou para o setor privado",1800,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",42,"Mulher","Rio de Janeiro","Ensino médio completo","Não branco","Responsável pelo domicílio","Sudeste",5
"112","330125151_07_11_27_11_1997_Homem_3354012",12601,"Migrou para o setor privado",2187,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",25,"Homem","Rio de Janeiro","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",6
"113","330125151_11_11_25_10_1990_Homem_3354012",12602,"Migrou para o setor privado",1506,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",32,"Homem","Rio de Janeiro","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",14
"114","330205938_11_11_10_02_1997_Homem_3354012",12611,"Migrou para o setor privado",1412,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",26,"Homem","Rio de Janeiro","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",4
"115","330303878_07_11_01_05_1971_Mulher_3354012",12635,"Migrou para o setor privado",375,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",52,"Mulher","Rio de Janeiro","Ensino médio incompleto","Branco","Não responsável pelo domicílio","Sudeste",60
"116","351241350_10_11_17_08_1977_Homem_3510111",12814,"Migrou para TCP",1000,"Capital",45,"Homem","São Paulo","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",48
"117","351292467_03_11_21_03_1994_Mulher_3510111",12834,"Migrou para o setor privado",5500,"Capital",29,"Mulher","São Paulo","Ensino médio completo","Branco","Responsável pelo domicílio","Sudeste",5
"118","351298651_02_11_10_10_1991_Homem_3510113",12943,"Migrou para o setor privado",2150,"Capital",32,"Homem","São Paulo","Ensino médio completo","Não branco","Responsável pelo domicílio","Sudeste",2
