"","id","Ano","V4012_ajust","ocupacao","cluster","Trimestre","Trimestre_Ano","UF","UPA","Estrato","V1008","V4012","V1014","V1022","V1016","V2007","V2008","V20081","V20082","V2009","VD4001","VD4002","VD3004","V4039","VD4010","V4032","V4019","V2010","V2005","VD4016","V1028","pessoas_domicilio","VD4016_ajust","regiao","Persistente","Precarizado","Transitório","chefe_domicilio","ensino_superior","renda_media"
"11","110019867_07_10_05_09_1981_Homem_1110012",2023,NA,"PFT","Precarizado",3,"3-2023","Rondônia",110019867,1110012,"07",NA,10,"Urbana",3,"Homem","05","09",1981,41,"Pessoas fora da força de trabalho",NA,"Fundamental incompleto ou equivalente",NA,"Desocupado",NA,NA,"Parda","Cônjuge ou companheiro(a) de sexo diferente",NA,226.95717361,5,NA,"Norte",0,1,0,"Não responsável pelo domicílio","Sem superior completo",1046.43503954971
"12","110022598_02_10_21_01_1960_Homem_1110012",2023,"TCP","TCP","Transitório",3,"3-2023","Rondônia",110022598,1110012,"02","Conta própria",10,"Urbana",3,"Homem","21","01",1960,63,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",40,"Construção","Não","Não","Parda","Cônjuge ou companheiro(a) de sexo diferente",1320,92.00202834,2,1418.82690219938,"Norte",0,0,1,"Não responsável pelo domicílio","Sem superior completo",1413.11462146759
"13","110022598_06_10_31_12_2004_Homem_1110012",2023,NA,"PFT","Precarizado",3,"3-2023","Rondônia",110022598,1110012,"06",NA,10,"Urbana",3,"Homem","31","12",2004,18,"Pessoas fora da força de trabalho",NA,"Fundamental incompleto ou equivalente",NA,"Desocupado",NA,NA,"Parda","Neto(a)",NA,106.00581518,3,NA,"Norte",0,1,0,"Não responsável pelo domicílio","Sem superior completo",837.148031639769
"14","110022598_10_10_02_03_1997_Homem_1110012",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110022598,1110012,"10","Conta própria",10,"Urbana",3,"Homem","02","03",1997,26,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",30,"Outros Serviços","Não","Não","Parda","Genro ou nora",1500,136.63039098,3,1612.30329795384,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",1483.79111217807
"15","110017554_04_10_04_04_1992_Homem_1151011",2023,"ESPriv","ESPriv","Transitório",3,"3-2023","Rondônia",110017554,1151011,"04","Trabalhador doméstico",10,"Urbana",3,"Homem","04","04",1992,31,"Pessoas na força de trabalho","Pessoas ocupadas","Médio incompleto ou equivalente",40,"Serviços domésticos","Não",NA,"Parda","Pessoa responsável pelo domicílio",1500,354.16076993,4,1612.30329795384,"Norte",0,0,1,"Responsável pelo domicílio","Sem superior completo",3117.2490568837
"16","110017554_10_10_17_07_2005_Homem_1151011",2023,"TCP","TCP","Precarizado",3,"3-2023","Rondônia",110017554,1151011,"10","Conta própria",10,"Urbana",3,"Homem","17","07",2005,18,"Pessoas na força de trabalho","Pessoas ocupadas","Médio incompleto ou equivalente",44,"Indústria geral","Não","Não","Parda","Filho(a) somente do responsável",1320,225.84662633,2,1418.82690219938,"Norte",0,1,0,"Não responsável pelo domicílio","Sem superior completo",1546.56148273946
"17","110011003_05_10_13_09_1964_Homem_1151012",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110011003,1151012,"05","Conta própria",10,"Urbana",3,"Homem","13","09",1964,59,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",44,"Alojamento e alimentação ","Sim","Não","Branca","Pessoa responsável pelo domicílio",1600,393.1467454,3,1719.79018448409,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",2132.11741673056
"18","110004867_11_10_05_08_1994_Homem_1151020",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110004867,1151020,"11","Conta própria",10,"Rural",3,"Homem","05","08",1994,29,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",40,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Sim","Não","Parda","Pessoa responsável pelo domicílio",2500,136.03574481,2,2687.17216325639,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1827.94224736283
"19","110004867_12_10_23_01_1989_Homem_1151020",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110004867,1151020,"12","Conta própria",10,"Rural",3,"Homem","23","01",1989,34,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",40,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Sim","Não","Branca","Cônjuge ou companheiro(a) de sexo diferente",800,119.45248111,4,859.895092242046,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",610.304756309413
"20","110004867_13_10_22_09_1976_Homem_1151020",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110004867,1151020,"13","Conta própria",10,"Rural",3,"Homem","22","09",1976,47,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",40,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Sim","Sim","Parda","Cônjuge ou companheiro(a) de sexo diferente",1320,110.27462227,3,1418.82690219938,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",925.07872189852
"21","110013956_01_10_05_08_1985_Homem_1151020",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110013956,1151020,"01","Conta própria",10,"Rural",3,"Homem","05","08",1985,38,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",40,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Sim","Não","Parda","Cônjuge ou companheiro(a) de sexo diferente",1800,111.07925192,4,1934.7639575446,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",1708.56772413298
"22","110000988_06_10_14_03_1960_Homem_1152011",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110000988,1152011,"06","Conta própria",10,"Urbana",3,"Homem","14","03",1960,63,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",40,"Construção","Não","Não","Preta","Pessoa responsável pelo domicílio",2500,175.20258292,5,2687.17216325639,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",2349.55102088125
"23","110007190_09_10_22_05_1970_Mulher_1152011",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110007190,1152011,"09","Conta própria",10,"Urbana",3,"Mulher","22","05",1970,53,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental completo ou equivalente",30,"Comércio, reparação de veículos automotores e motocicletas","Não","Não","Branca","Pessoa responsável pelo domicílio",1000,464.08080375,2,1074.86886530256,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1455.97151367888
"24","110007190_14_10_04_07_1962_Mulher_1152011",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110007190,1152011,"14","Conta própria",10,"Urbana",3,"Mulher","04","07",1962,61,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",45,"Comércio, reparação de veículos automotores e motocicletas","Sim","Não","Parda","Pessoa responsável pelo domicílio",1600,331.42240839,2,1719.79018448409,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1848.46996471873
"25","110010600_04_10_27_02_1967_Homem_1152012",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110010600,1152012,"04","Conta própria",10,"Urbana",3,"Homem","27","02",1967,56,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",30,"Transporte, armazenagem e correio ","Não","Não","Branca","Cônjuge ou companheiro(a) de sexo diferente",1500,324.55284326,6,1612.30329795384,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",1826.80626213134
"26","110000941_03_10_26_03_2005_Mulher_1152021",2023,"TCP","TCP","Precarizado",3,"3-2023","Rondônia",110000941,1152021,"03","Conta própria",10,"Rural",3,"Mulher","26","03",2005,18,"Pessoas na força de trabalho","Pessoas ocupadas","Médio incompleto ou equivalente",8,"Outros Serviços","Não","Não","Branca","Cônjuge ou companheiro(a) de sexo diferente",500,165.28700276,2,537.434432651279,"Norte",0,1,0,"Não responsável pelo domicílio","Sem superior completo",537.434432651279
"27","110006639_05_10_03_01_1982_Homem_1152021",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110006639,1152021,"05","Conta própria",10,"Rural",3,"Homem","03","01",1982,41,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",24,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Não","Não","Branca","Pessoa responsável pelo domicílio",4000,169.06806902,4,4299.47546121023,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",3568.99973886067
"28","110013267_01_10_27_08_1971_Mulher_1152021",2023,NA,"PFT","Precarizado",3,"3-2023","Rondônia",110013267,1152021,"01",NA,10,"Rural",3,"Mulher","27","08",1971,51,"Pessoas fora da força de trabalho",NA,"Fundamental incompleto ou equivalente",NA,"Desocupado",NA,NA,"Parda","Pessoa responsável pelo domicílio",NA,133.51878326,2,NA,"Norte",0,1,0,"Responsável pelo domicílio","Sem superior completo",109.820031133172
"29","110013267_01_10_13_07_1970_Homem_1152021",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110013267,1152021,"01","Conta própria",10,"Rural",3,"Homem","13","07",1970,53,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",40,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Sim","Não","Branca","Cônjuge ou companheiro(a) de sexo diferente",2000,133.51878326,2,2149.73773060512,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",1839.72874218005
"30","110013267_02_10_12_04_1983_Homem_1152021",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110013267,1152021,"02","Conta própria",10,"Rural",3,"Homem","12","04",1983,40,"Pessoas na força de trabalho","Pessoas ocupadas","Superior completo",25,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Sim","Não","Parda","Filho(a) somente do responsável",5000,141.12799017,2,5374.34432651279,"Norte",1,0,0,"Não responsável pelo domicílio","Superior completo",2855.6728252983
"31","110013267_08_10_19_10_1985_Homem_1152021",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110013267,1152021,"08","Conta própria",10,"Rural",3,"Homem","19","10",1985,37,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",20,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Sim","Não","Preta","Filho(a) somente do responsável",1500,171.31360333,5,1612.30329795384,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",1508.70093844421
"32","110013267_11_10_27_01_1961_Homem_1152021",2023,"TCP","TCP","Persistente",3,"3-2023","Rondônia",110013267,1152021,"11","Conta própria",10,"Rural",3,"Homem","27","01",1961,62,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",25,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Sim","Não","Branca","Pessoa responsável pelo domicílio",3500,124.64286875,2,3762.04102855895,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",4806.13262696125
"33","110000400_13_10_02_12_1993_Homem_1152022",2023,"ESPriv","ESPriv","Transitório",3,"3-2023","Rondônia",110000400,1152022,"13","Empregado do setor privado",10,"Rural",3,"Homem","02","12",1993,29,"Pessoas na força de trabalho","Pessoas ocupadas","Médio incompleto ou equivalente",40,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Não",NA,"Parda","Pessoa responsável pelo domicílio",1300,199.90520861,4,1397.32952489333,"Norte",0,0,1,"Responsável pelo domicílio","Sem superior completo",1599.32084174522
"34","120003856_09_10_27_02_1995_Homem_1210010",2023,NA,"PFT","Precarizado",3,"3-2023","Acre",120003856,1210010,"09",NA,10,"Urbana",3,"Homem","27","02",1995,28,"Pessoas na força de trabalho","Pessoas desocupadas","Fundamental completo ou equivalente",NA,"Desocupado",NA,NA,"Branca","Neto(a)",NA,81.58917735,2,NA,"Norte",0,1,0,"Não responsável pelo domicílio","Sem superior completo",2267.5283855044
"35","120005513_09_10_23_06_1987_Homem_1210010",2023,"TCP","TCP","Persistente",3,"3-2023","Acre",120005513,1210010,"09","Conta própria",10,"Urbana",3,"Homem","23","06",1987,36,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",30,"Transporte, armazenagem e correio ","Não","Não","Parda","Pessoa responsável pelo domicílio",2670,83.36877695,4,2861.64193183891,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",2708.87150260262
"36","120007077_05_10_19_02_1998_Mulher_1210010",2023,"ESPriv","ESPriv","Transitório",3,"3-2023","Acre",120007077,1210010,"05","Empregado do setor privado",10,"Urbana",3,"Mulher","19","02",1998,25,"Pessoas na força de trabalho","Pessoas ocupadas","Superior completo",40,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",NA,NA,"Parda","Filho(a) somente do responsável",2000,90.40864956,6,2143.55200886809,"Norte",0,0,1,"Não responsável pelo domicílio","Superior completo",848.234669079938
"37","120016066_06_10_13_08_1978_Homem_1210010",2023,"TCP","TCP","Persistente",3,"3-2023","Acre",120016066,1210010,"06","Conta própria",10,"Urbana",3,"Homem","13","08",1978,45,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",40,"Comércio, reparação de veículos automotores e motocicletas","Não","Não","Parda","Pessoa responsável pelo domicílio",500,94.42613692,4,535.888002217024,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",425.675130335242
"38","120002912_04_10_21_03_1980_Homem_1210020",2023,"TCP","TCP","Persistente",3,"3-2023","Acre",120002912,1210020,"04","Conta própria",10,"Rural",3,"Homem","21","03",1980,43,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",44,"Construção","Não","Não","Branca","Pessoa responsável pelo domicílio",1500,78.24072763,3,1607.66400665107,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1306.08063195648
"39","120000055_06_10_05_11_2005_Homem_1250010",2023,NA,"PFT","Precarizado",3,"3-2023","Acre",120000055,1250010,"06",NA,10,"Urbana",3,"Homem","05","11",2005,17,"Pessoas fora da força de trabalho",NA,"Médio incompleto ou equivalente",NA,"Desocupado",NA,NA,"Parda","Filho(a) do responsável e do cônjuge",NA,129.65708303,6,NA,"Norte",0,1,0,"Não responsável pelo domicílio","Sem superior completo",1671.74074053613
"40","120000275_11_10_20_01_1959_Mulher_1250010",2023,"TCP","TCP","Persistente",3,"3-2023","Acre",120000275,1250010,"11","Conta própria",10,"Urbana",3,"Mulher","20","01",1959,64,"Pessoas na força de trabalho","Pessoas ocupadas","Sem instrução e menos de 1 ano de estudo",48,"Alojamento e alimentação ","Não","Não","Branca","Pai, mãe, padrasto ou madrasta",450,172.85322824,5,482.299201995321,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",1316.13271007392
"41","120004805_08_10_16_10_1969_Homem_1250010",2023,"TCP","TCP","Persistente",3,"3-2023","Acre",120004805,1250010,"08","Conta própria",10,"Urbana",3,"Homem","16","10",1969,53,"Pessoas na força de trabalho","Pessoas ocupadas","Médio incompleto ou equivalente",20,"Transporte, armazenagem e correio ","Não","Não","Parda","Pessoa responsável pelo domicílio",300,125.55533449,4,321.532801330214,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1382.01012065326
"42","120005143_11_10_06_11_1984_Mulher_1250010",2023,"TCP","TCP","Persistente",3,"3-2023","Acre",120005143,1250010,"11","Conta própria",10,"Urbana",3,"Mulher","06","11",1984,38,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",44,"Comércio, reparação de veículos automotores e motocicletas","Não","Sim","Parda","Pessoa responsável pelo domicílio",5000,102.01884229,3,5358.88002217023,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",9641.74143734387
"43","120011033_03_10_12_04_1974_Homem_1250010",2023,"TCP","TCP","Persistente",3,"3-2023","Acre",120011033,1250010,"03","Conta própria",10,"Urbana",3,"Homem","12","04",1974,49,"Pessoas na força de trabalho","Pessoas ocupadas","Sem instrução e menos de 1 ano de estudo",40,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas","Não","Não","Parda","Cônjuge ou companheiro(a) de sexo diferente",1000,136.96099061,2,1071.77600443405,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",959.504382895955
"44","120023897_10_10_02_10_1973_Homem_1250010",2023,"TCP","TCP","Persistente",3,"3-2023","Acre",120023897,1250010,"10","Conta própria",10,"Urbana",3,"Homem","02","10",1973,49,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",40,"Construção","Não","Não","Parda","Pessoa responsável pelo domicílio",3000,119.22201169,4,3215.32801330214,"Norte",1,0,0,"Responsável pelo domicílio","Sem superior completo",1778.95172250509
"45","120000980_13_10_17_01_1985_Homem_1250020",2023,"TCP","TCP","Precarizado",3,"3-2023","Acre",120000980,1250020,"13","Conta própria",10,"Rural",3,"Homem","17","01",1985,38,"Pessoas na força de trabalho","Pessoas ocupadas","Fundamental incompleto ou equivalente",30,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Não","Não","Branca","Pessoa responsável pelo domicílio",600,65.99457975,4,643.065602660428,"Norte",0,1,0,"Responsável pelo domicílio","Sem superior completo",1129.53831046689
"46","120003149_10_10_26_11_1968_Mulher_1250020",2023,NA,"PFT","Precarizado",3,"3-2023","Acre",120003149,1250020,"10",NA,10,"Rural",3,"Mulher","26","11",1968,54,"Pessoas fora da força de trabalho",NA,"Médio completo ou equivalente",NA,"Desocupado",NA,NA,"Parda","Cônjuge ou companheiro(a) de sexo diferente",NA,45.35552273,2,NA,"Norte",0,1,0,"Não responsável pelo domicílio","Sem superior completo",587.625942350998
"47","120003149_11_10_09_06_1975_Homem_1250020",2023,NA,"PFT","Precarizado",3,"3-2023","Acre",120003149,1250020,"11",NA,10,"Rural",3,"Homem","09","06",1975,48,"Pessoas fora da força de trabalho",NA,"Médio completo ou equivalente",NA,"Desocupado",NA,NA,"Preta","Pessoa responsável pelo domicílio",NA,54.18257941,5,NA,"Norte",0,1,0,"Responsável pelo domicílio","Sem superior completo",1308.06886248823
"48","120003951_08_10_28_02_1973_Homem_1250020",2023,NA,"PFT","Transitório",3,"3-2023","Acre",120003951,1250020,"08",NA,10,"Rural",3,"Homem","28","02",1973,50,"Pessoas fora da força de trabalho",NA,"Fundamental incompleto ou equivalente",NA,"Desocupado",NA,NA,"Parda","Pessoa responsável pelo domicílio",NA,53.85350652,1,NA,"Norte",0,0,1,"Responsável pelo domicílio","Sem superior completo",1149.32175911859
"49","120008049_08_10_03_03_1992_Homem_1250020",2023,"TCP","TCP","Precarizado",3,"3-2023","Acre",120008049,1250020,"08","Conta própria",10,"Rural",3,"Homem","03","03",1992,31,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",50,"Indústria geral","Não","Não","Parda","Pessoa responsável pelo domicílio",600,96.63524074,3,643.065602660428,"Norte",0,1,0,"Responsável pelo domicílio","Sem superior completo",606.23681724811
"50","120009681_08_10_08_11_1969_Homem_1250020",2023,NA,"PFT","Precarizado",3,"3-2023","Acre",120009681,1250020,"08",NA,10,"Rural",3,"Homem","08","11",1969,53,"Pessoas fora da força de trabalho",NA,"Fundamental incompleto ou equivalente",NA,"Desocupado",NA,NA,"Parda","Cônjuge ou companheiro(a) de sexo diferente",NA,64.18088955,5,NA,"Norte",0,1,0,"Não responsável pelo domicílio","Sem superior completo",1062.92573186379
"51","120009880_01_10_04_06_1987_Mulher_1250020",2023,"ESPriv","ESPriv","Transitório",3,"3-2023","Acre",120009880,1250020,"01","Trabalhador doméstico",10,"Rural",3,"Mulher","04","06",1987,36,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",40,"Serviços domésticos",NA,NA,"Parda","Pessoa responsável pelo domicílio",1320,38.66965848,4,1414.74432585294,"Norte",0,0,1,"Responsável pelo domicílio","Sem superior completo",1475.31120352313
"52","120009880_13_10_29_09_1985_Homem_1250020",2023,"TCP","TCP","Persistente",3,"3-2023","Acre",120009880,1250020,"13","Conta própria",10,"Rural",3,"Homem","29","09",1985,37,"Pessoas na força de trabalho","Pessoas ocupadas","Médio completo ou equivalente",20,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Não","Não","Parda","Filho(a) somente do responsável",300,40.72424973,4,321.532801330214,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",819.025074388703
"53","120016275_03_10_24_04_1993_Homem_1250020",2023,NA,"PFT","Precarizado",3,"3-2023","Acre",120016275,1250020,"03",NA,10,"Rural",3,"Homem","24","04",1993,30,"Pessoas fora da força de trabalho",NA,"Fundamental incompleto ou equivalente",NA,"Desocupado",NA,NA,"Branca","Pessoa responsável pelo domicílio",NA,63.20422856,1,NA,"Norte",0,1,0,"Responsável pelo domicílio","Sem superior completo",430.888874898298
"54","120016275_06_10_01_12_1985_Homem_1250020",2023,NA,"PFT","Precarizado",3,"3-2023","Acre",120016275,1250020,"06",NA,10,"Rural",3,"Homem","01","12",1985,37,"Pessoas fora da força de trabalho",NA,"Médio completo ou equivalente",NA,"Desocupado",NA,NA,"Preta","Cônjuge ou companheiro(a) de sexo diferente",NA,57.96311979,4,NA,"Norte",0,1,0,"Não responsável pelo domicílio","Sem superior completo",1241.77845092227
"55","120016275_08_10_31_08_1991_Homem_1250020",2023,NA,"PFT","Precarizado",3,"3-2023","Acre",120016275,1250020,"08",NA,10,"Rural",3,"Homem","31","08",1991,32,"Pessoas fora da força de trabalho",NA,"Fundamental completo ou equivalente",NA,"Desocupado",NA,NA,"Parda","Pessoa responsável pelo domicílio",NA,65.10242559,3,NA,"Norte",0,1,0,"Responsável pelo domicílio","Sem superior completo",257.544024466185
"56","120021356_05_10_08_03_1994_Homem_1250020",2023,"TCP","TCP","Persistente",3,"3-2023","Acre",120021356,1250020,"05","Conta própria",10,"Rural",3,"Homem","08","03",1994,29,"Pessoas na força de trabalho","Pessoas ocupadas","Sem instrução e menos de 1 ano de estudo",24,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Não","Não","Parda","Filho(a) do responsável e do cônjuge",500,110.63281049,3,535.888002217024,"Norte",1,0,0,"Não responsável pelo domicílio","Sem superior completo",677.401430909896
